brand,model,year,title_status,mileage,color,state,price
toyota,cruiser,2008,clean vehicle,274117.0,black,new jersey,6300
ford,se,2011,clean vehicle,190552.0,silver,tennessee,2899
dodge,mpv,2018,clean vehicle,39590.0,silver,georgia,5350
ford,door,2014,clean vehicle,64146.0,blue,virginia,25000
chevrolet,1500,2018,clean vehicle,6654.0,red,florida,27700
dodge,mpv,2018,clean vehicle,45561.0,white,texas,5700
chevrolet,pk,2010,clean vehicle,149050.0,black,georgia,7300
gmc,door,2017,clean vehicle,23525.0,gray,california,13350
chevrolet,malibu,2018,clean vehicle,9371.0,silver,florida,14600
ford,mpv,2017,clean vehicle,63418.0,black,texas,5250
dodge,coupe,2009,clean vehicle,107856.0,orange,georgia,10400
gmc,mpv,2017,clean vehicle,39650.0,white,california,12920
chevrolet,1500,2018,clean vehicle,22909.0,black,tennessee,31900
chrysler,wagon,2017,clean vehicle,138650.0,gray,texas,5430
ford,door,2013,clean vehicle,100757.0,black,virginia,20700
gmc,door,2017,clean vehicle,25747.0,white,california,12710
kia,forte,2018,clean vehicle,46194.0,blue,north carolina,5200
buick,encore,2018,clean vehicle,20002.0,red,tennessee,16500
ford,mpv,2017,clean vehicle,35714.0,white,texas,5210
ford,door,2013,clean vehicle,54380.0,gray,virginia,38100
gmc,door,2017,clean vehicle,30114.0,white,california,12520
kia,forte,2018,clean vehicle,38823.0,black,north carolina,7300
chevrolet,door,2015,clean vehicle,61578.0,black,ohio,15000
ford,mpv,2017,clean vehicle,46010.0,blue,texas,6180
ford,door,2013,clean vehicle,105510.0,silver,virginia,20800
gmc,door,2017,clean vehicle,28040.0,silver,california,11900
kia,sorento,2020,clean vehicle,11451.0,blue,north carolina,21500
buick,door,2014,clean vehicle,31039.0,brown,ohio,12000
ford,doors,2017,clean vehicle,44174.0,white,texas,4190
ford,chassis,2008,clean vehicle,93698.0,white,tennessee,13000
gmc,door,2017,clean vehicle,26364.0,silver,california,12710
infiniti,q70,2016,clean vehicle,71967.0,gray,new york,18500
chevrolet,camaro,1973,clean vehicle,46226.0,red,pennsylvania,29800
ford,mpv,2017,clean vehicle,37792.0,no_color,texas,5330
ford,convertible,2003,clean vehicle,58817.0,gray,virginia,13000
gmc,door,2017,clean vehicle,27965.0,black,california,11900
mercedes-benz,vans,2016,clean vehicle,110907.0,white,new york,16600
chevrolet,1500,2018,clean vehicle,2430.0,white,tennessee,19200
ford,mpv,2017,clean vehicle,32366.0,gold,texas,7320
ford,pk,2003,clean vehicle,176567.0,white,tennessee,7000
gmc,door,2017,clean vehicle,30049.0,white,california,12710
mercedes-benz,vans,2016,clean vehicle,97983.0,white,new york,16600
chevrolet,1500,2018,clean vehicle,30442.0,red,tennessee,30500
ford,mpv,2017,clean vehicle,38123.0,red,texas,6330
ford,srw,2017,clean vehicle,15273.0,black,pennsylvania,55000
